ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
corn_gluten,"A plant protein derived from corn.","Used to boost protein content in foods.","Common in dry food formulas.","caution","Highly processed and mainly used to increase protein levels; limited nutritional variety.","safe","Safe for dogs in balanced diets.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
rice_flour,"Finely ground rice used as a flour.","Used in foods and pet diets for structure.","Common in gluten-free recipes.","safe","Naturally gluten-free and easy to digest.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
brown_rice,"Whole grain rice with bran layer intact.","Used to provide energy and fiber.","Less processed than white rice.","safe","Rich in fiber and nutrients; supports digestion.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
white_rice,"Refined rice with outer layers removed.","Used for easily digestible energy.","Common in sensitive diets.","safe","Easy to digest and gentle on the stomach, but lower in fiber than whole grains.","safe","Safe for dogs and often used for upset stomach.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
broken_rice,"Small fragments of rice grains from processing.","Used as a carbohydrate source.","Nutritionally similar to whole rice.","safe","Provides energy and is easy to digest.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"}
potato,"A starchy root vegetable used as a carbohydrate source.","Used to provide energy and help bind food.","Common in both human and pet diets.","safe","Good energy source and easy to digest when cooked, but low in protein.","safe","Safe for dogs when cooked.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
sweet_potato,"A naturally sweet root vegetable rich in nutrients.","Used to provide energy and fiber.","Often found in premium recipes.","safe","Rich in fiber and vitamins like beta-carotene; supports digestion.","safe","Safe for dogs and often used for sensitive stomachs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
potato_protein,"A plant protein extracted from potatoes.","Used to increase protein content in foods.","Common in grain-free products.","caution","Processed protein and less complete than animal protein.","safe","Safe for dogs in balanced diets.","caution","Not ideal as a main protein source for cats.","FEDIAF / pet food industry"
tapioca,"A starch extracted from cassava root.","Used to provide energy and bind ingredients.","Common in grain-free foods.","safe","Easy to digest but mainly a source of carbohydrates with little nutrition.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
cassava,"A root plant used as a carbohydrate source.","Used in gluten-free and grain-free diets.","Must be properly processed before use.","safe","Safe when processed, but raw cassava can contain harmful compounds.","safe","Safe for dogs when properly processed.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
lentils,"A type of legume rich in plant protein and fiber.","Used in some grain-free foods.","Common in alternative diets.","caution","Healthy in moderation, but large amounts may affect digestion or nutrient balance.","safe","Safe for dogs in balanced diets.","caution","Should not replace animal protein for cats.","FEDIAF / pet food industry"
chickpeas,"A legume used for plant protein and fiber.","Used in grain-free and plant-based foods.","Common in many recipes.","caution","Nutritious but may cause bloating or digestive issues in large amounts.","safe","Safe for dogs in moderation.","caution","Not ideal as a main ingredient for cats.","FEDIAF / pet food industry"
beans,"A general term for various legumes.","Used to provide fiber and plant protein.","Found in some alternative diets.","caution","Healthy in small amounts, but can be hard to digest and cause gas.","safe","Safe for dogs in moderation.","caution","Limited value for cats and may affect digestion.","FEDIAF / pet food industry"
fava_beans,"A type of legume used in some foods.","Used to provide plant protein and nutrients.","Less common than other legumes.","caution","Nutritious but may cause digestive issues or sensitivities in some individuals.","safe","Safe for dogs in moderate amounts.","caution","Not ideal for cats.","FEDIAF / pet food industry"
green_peas,"A vegetable commonly used in food and pet diets.","Used to provide fiber and some protein.","Often found in grain-free recipes.","safe","Provides fiber and nutrients; generally easy to digest.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry
yellow_peas,"A type of pea used as a plant-based ingredient.","Used to provide carbohydrates and some protein.","Common in grain-free and dry foods.","safe","Provides fiber and plant protein; generally easy to digest.","safe","Safe for dogs in balanced diets.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
pea_fiber,"Fiber extracted from peas.","Used to support digestion and gut health.","Often added to improve stool quality.","safe","Helps digestion and gut movement; useful for fiber balance.","safe","Safe for dogs and supports digestion.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
plant_fiber,"A general mix of fiber from plant sources.","Used to support digestive health.","Common in many processed foods.","safe","Supports gut health and regular digestion.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
cellulose,"A plant-based fiber used as a filler.","Used to add bulk and control calories.","Often added to processed foods.","caution","Adds fiber but has little nutritional value; mainly used for texture and volume.","safe","Safe for dogs and helps with digestion.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
lignocellulose,"A structural fiber from plants.","Used to support digestion and stool consistency.","Common in specialized diets.","caution","Functional fiber with limited nutritional value; mainly supports digestion.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
apple_pulp,"A fiber-rich by-product from apple processing.","Used to support digestion.","Often added as a natural fiber source.","safe","Provides fiber that supports gut health and digestion.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
carrot,"A root vegetable rich in nutrients.","Used for fiber and natural sweetness.","Common in many foods.","safe","Rich in beta-carotene and fiber; supports eye health and digestion.","safe","Safe for dogs and often used as a healthy snack.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
pumpkin,"A fiber-rich vegetable often used for digestion.","Used to support gut health and stool quality.","Popular in both human and pet diets.","safe","Supports digestion and may help with both constipation and loose stools.","safe","Safe for dogs and often used for digestive support.","safe","Safe for cats and helpful for digestion.","FEDIAF / pet food industry"
spinach,"A leafy green vegetable rich in nutrients.","Used to add vitamins and minerals.","Often included in small amounts.","safe","Rich in iron and vitamins, but large amounts may affect mineral balance.","safe","Safe for dogs in moderation.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
tomato,"A fruit commonly used as a vegetable in cooking.","Used for flavor and nutrients.","Common in sauces and processed foods.","caution","Ripe tomatoes are safe, but green parts may contain harmful compounds.","safe","Safe for dogs in small amounts when ripe.","safe","Safe for cats in small amounts when ripe.","FEDIAF / pet food industry
tomato_pomace,"A by-product from tomato processing, mainly skins and seeds.","Used as a source of fiber in food.","Common in dry and processed foods.","caution","Provides fiber but is a processed ingredient with limited nutritional value.","safe","Safe for dogs and supports digestion.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
cranberry,"A small tart berry often used in foods and supplements.","Used to support urinary health.","Common in functional recipes.","safe","May help support urinary tract health; often used in small amounts.","safe","Safe for dogs and sometimes used for urinary support.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
blueberry,"A small berry rich in natural antioxidants.","Used to add vitamins and plant compounds.","Often seen as a “superfood.”","safe","Rich in antioxidants that support overall health.","safe","Safe for dogs and beneficial in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
herbs,"A mix of plant leaves used in small amounts.","Used for flavor and natural plant compounds.","Often added for a natural touch.","safe","Generally safe and may provide small amounts of beneficial compounds.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
parsley,"A fresh green herb used in many foods.","Used to add flavor and nutrients.","Sometimes used for fresh breath.","safe","Contains vitamins and antioxidants; beneficial in small amounts.","safe","Safe for dogs and may help freshen breath.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
rosemary,"An aromatic herb also used as a natural preservative.","Used to help keep food fresh.","Often added in small amounts.","safe","Contains antioxidants; generally safe in small amounts.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
thyme,"A fragrant herb used in cooking.","Used for flavor and plant compounds.","Common in many traditional dishes.","safe","Contains natural compounds with mild health benefits.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
yucca_extract,"An extract from the yucca plant.","Used to reduce odor in pet waste.","Common in pet food formulas.","safe","Generally safe and used in small amounts for functional purposes.","safe","Safe for dogs and may reduce stool odor.","safe","Safe for cats.","FEDIAF / pet food industry"
chicory_root,"A plant root rich in natural fiber.","Used to support digestion and gut bacteria.","Often added as a prebiotic.","safe","Supports healthy gut bacteria and digestion.","safe","Safe for dogs and beneficial for digestion.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
inulin,"A natural plant fiber with prebiotic effects.","Used to support gut health.","Common in functional foods.","safe","Feeds beneficial gut bacteria and supports digestion.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"}
fructooligosaccharides,"A type of prebiotic fiber that feeds good gut bacteria.","Used to support digestion and gut balance.","Often called FOS on labels.","safe","Helps healthy gut bacteria grow and supports digestion.","safe","Safe for dogs and supports gut health.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
mannan_oligosaccharides,"A prebiotic fiber derived from yeast.","Used to support digestion and immune health.","Often listed as MOS.","safe","Supports gut balance and may help immune function.","safe","Safe for dogs and supports digestion.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
prebiotics,"Ingredients that feed beneficial gut bacteria.","Used to support digestion and gut balance.","Common in functional foods.","safe","Help maintain a healthy gut microbiome and digestion.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
probiotics,"Live beneficial bacteria added to food.","Used to support gut health and digestion.","Often found in functional foods.","safe","Can improve digestion and gut balance when used properly.","safe","Safe for dogs and supports gut health.","safe","Safe for cats.","FEDIAF / pet food industry"
lactobacillus,"A group of beneficial bacteria.","Used as a probiotic to support digestion.","Common in fermented foods and supplements.","safe","Supports gut health and digestion by balancing bacteria.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
enterococcus,"A type of bacteria used in probiotics.","Used to support digestive balance.","Added in controlled amounts.","safe","Can support gut health when used properly.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
minerals,"Essential nutrients needed in small amounts.","Used to support many body functions.","Added to ensure balanced nutrition.","safe","Critical for bones, nerves, and metabolism when balanced.","safe","Safe for dogs when properly balanced.","safe","Safe for cats when properly balanced.","FEDIAF / pet nutrition"
calcium_carbonate,"A mineral source of calcium.","Used to support bones and teeth.","Common in supplements and foods.","safe","Supports bone health but excess may affect mineral balance.","safe","Safe for dogs in balanced amounts.","safe","Safe for cats in balanced amounts.","FEDIAF / pet nutrition"
calcium_phosphate,"A mineral providing calcium and phosphorus.","Used to support bones and metabolism.","Important for balanced nutrition.","safe","Essential for bone health and energy metabolism when balanced.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet nutrition"
sodium_chloride,"Common salt used in food.","Used to support fluid balance and taste.","Widely used in many foods.","caution","Necessary in small amounts, but too much may affect blood pressure.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet nutrition"}
potassium_chloride,"A mineral that provides potassium.","Used to support nerve signals and muscle function.","Helps maintain fluid balance in the body.","safe","Essential for heart and muscle function, but too much can disturb electrolyte balance.","safe","Safe for dogs in proper amounts.","safe","Safe for cats in proper amounts.","FEDIAF / pet nutrition"
magnesium_oxide,"A mineral source of magnesium.","Used to support muscles and nerve function.","Often added to balance nutrition.","safe","Important for muscles, nerves, and energy production; excess may cause digestive upset.","safe","Safe for dogs in balanced amounts.","safe","Safe for cats in balanced amounts.","FEDIAF / pet nutrition"
iron_sulfate,"A mineral form of iron.","Used to support red blood cell production.","Prevents iron deficiency.","safe","Essential for oxygen transport in blood; too much may cause stomach irritation.","safe","Safe for dogs in correct amounts.","safe","Safe for cats in correct amounts.","FEDIAF / pet nutrition"
zinc_sulfate,"A mineral source of zinc.","Used to support skin, coat, and immune system.","Common in supplements and pet food.","safe","Supports immunity and skin health; excess may affect digestion.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet nutrition"
copper_sulfate,"A mineral providing copper.","Used to support metabolism and blood health.","Added in small controlled amounts.","safe","Important for red blood cells and enzyme function; too much can be harmful.","safe","Safe for dogs in balanced diets.","safe","Safe for cats in balanced diets.","FEDIAF / pet nutrition"
manganese_sulfate,"A mineral source of manganese.","Used to support bone health and metabolism.","Needed in trace amounts.","safe","Supports bone formation and enzyme function; excess may disrupt balance.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet nutrition"
selenium_yeast,"A natural source of selenium from yeast.","Used for antioxidant support.","Added in very small amounts.","safe","Helps protect cells from damage, but too much can be toxic.","safe","Safe for dogs in trace amounts.","safe","Safe for cats in trace amounts.","FEDIAF / pet nutrition"
collagen,"A structural protein found in skin and joints.","Used to support joints and skin health.","Often added to functional foods.","safe","Supports joints, skin, and connective tissue.","safe","Safe for dogs and beneficial for joints.","safe","Safe for cats.","FEDIAF / pet nutrition"
algae_oil,"An oil derived from algae rich in omega fatty acids.","Used as a plant-based omega-3 source.","Often used instead of fish oil.","safe","Supports brain, heart, and skin health.","safe","Safe for dogs and beneficial for coat health.","safe","Safe for cats.","FEDIAF / pet nutrition"
flaxseed,"A seed rich in fiber and omega-3 fats.","Used to support digestion and skin health.","Common in health-focused foods.","safe","Supports digestion and provides plant omega-3, though less potent than fish sources.","safe","Safe for dogs.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
linseed_oil,"An oil extracted from flaxseeds.","Used to provide omega-3 fatty acids.","Often added for skin and coat support.","safe","Rich in plant omega-3; supports heart and skin health, but less potent than fish oil.","safe","Safe for dogs and supports coat health.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
sunflower_oil,"An oil made from sunflower seeds.","Used to provide energy and essential fats.","Common in many foods.","safe","Rich in omega-6 fats; good in balance but too much may affect fat balance.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
coconut_oil,"An oil extracted from coconut flesh.","Used as a fat source and for flavor.","Often found in treats and supplements.","caution","High in saturated fat; okay in small amounts but not ideal in excess.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
glycerin,"A substance that helps retain moisture in food.","Used to keep products soft and chewy.","Common in treats.","caution","Generally safe, but signals a more processed product.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
molasses,"A thick, sweet syrup from sugar production.","Used to add flavor and sweetness.","Often added to improve taste.","caution","High in sugar; frequent intake may affect metabolism and teeth.","safe","Safe for dogs in small amounts.","safe","Safe for cats in very small amounts.","FEDIAF / pet food industry"
sugar_beet_molasses,"A syrup from processed sugar beets.","Used to add sweetness and energy.","Common in some feeds and treats.","caution","High sugar content; adds calories without much nutritional value.","safe","Safe for dogs in small amounts.","safe","Safe for cats in very small amounts.","FEDIAF / pet food industry"
caramel,"A coloring and flavoring made from heated sugar.","Used to give food a brown color and mild sweetness.","Often used for appearance.","caution","Adds color and sugar but little nutritional value.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
natural_flavor,"Flavoring derived from natural sources.","Used to enhance taste.","Often not very specific on labels.","caution","Generally safe, but lacks transparency about exact ingredients.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
artificial_flavor,"Flavor created using synthetic processes.","Used to improve taste.","Common in processed foods.","caution","Safe in approved amounts but indicates a more processed product.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
digest,"A processed flavor enhancer made from animal ingredients.","Used to make food more appealing.","Very common in dry pet food.","caution","Highly processed and mainly used for taste rather than nutrition.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
meat_digest,"A processed flavor made from meat ingredients.","Used to make food more tasty for pets.","Common in dry pet food.","caution","Highly processed and mainly used for flavor rather than nutrition.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
smoke_flavor,"A flavor that mimics a smoky taste.","Used to enhance aroma and taste.","Common in treats and processed foods.","caution","Adds flavor but no nutritional value; usually artificially created.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
preservatives,"Substances that help food last longer.","Used to prevent spoilage and bacteria growth.","Common in processed foods.","caution","Help keep food safe, but often indicate a more processed product.","safe","Safe for dogs in approved amounts.","safe","Safe for cats in approved amounts.","FEDIAF / pet food industry"
antioxidants,"Compounds that protect food and cells from damage.","Used to keep fats from spoiling.","Also support overall health.","safe","Help protect cells from oxidative stress and keep food fresh.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
tocopherols,"Natural antioxidants related to vitamin E.","Used to preserve fats and oils.","Often used as natural preservatives.","safe","Support cell protection and act as a natural preservative.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
rosemary_extract_preservative,"A plant extract used as a natural preservative.","Used to keep food fresh and stable.","Alternative to synthetic preservatives.","safe","Contains natural antioxidants and is generally well tolerated.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","FEDIAF / pet food industry"
citric_preservative,"A preservative based on citric acid.","Used to extend shelf life and maintain freshness.","Common in many foods.","safe","Generally safe and widely used; may be acidic in high amounts.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
propylene_glycol,"A substance used to keep food moist.","Used in semi-moist products.","Helps maintain texture.","caution","Safe in regulated amounts but controversial; not suitable for all uses.","safe","Safe for dogs in approved amounts.","limit","Not recommended for cats; may cause health issues.","EU regulation / pet food"
sorbic_acid,"A preservative that prevents mold growth.","Used to extend shelf life.","Common in many products.","safe","Generally safe in small amounts.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
benzoic_acid,"A preservative used to prevent spoilage.","Used to extend shelf life.","Common in processed foods.","caution","Safe in regulated amounts, but excessive intake may irritate the system.","safe","Safe for dogs in approved amounts.","safe","Safe for cats in approved amounts.","FEDIAF / pet food industry"}
liver,"An organ meat packed with nutrients.","Used to provide vitamins, minerals, and strong flavor.","Often added in small amounts.","safe","Very rich in vitamins (especially A); too much may lead to excess intake.","safe","Safe for dogs and very nutritious.","safe","Safe for cats and highly beneficial.","FEDIAF / pet food industry"
beef_liver,"Liver from cattle, very nutrient-dense.","Used to boost vitamins and flavor.","Common in both human and pet diets.","safe","Extremely rich in vitamin A and iron; best consumed in moderation.","safe","Safe for dogs in balanced amounts.","safe","Safe for cats and very beneficial.","FEDIAF / pet food industry"
poultry_liver,"Liver from chicken or other poultry.","Used to provide nutrients and enhance taste.","Common in pet food.","safe","Rich in vitamins and minerals; very nutritious in small amounts.","safe","Safe for dogs.","safe","Safe for cats and important in their diet.","FEDIAF / pet food industry"
blood,"Animal blood used as a protein source.","Used to provide iron and nutrients.","Found in some traditional recipes.","safe","Rich in iron and protein; supports red blood cell health.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
dried_blood,"Blood that has been dried and processed.","Used as a concentrated protein and iron source.","Often added to dry foods.","caution","Nutritious but processed; quality depends on sourcing.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
gelatin,"A protein derived from animal collagen.","Used to give food a gel-like texture.","Common in desserts and pet foods.","safe","Easy to digest and supports joints and skin.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
animal_broth,"A flavorful liquid made by cooking animal parts.","Used to add taste and moisture.","Often improves palatability.","safe","Low in calories and can provide minerals depending on preparation.","safe","Safe for dogs and often used to improve hydration.","safe","Safe for cats.","FEDIAF / pet food industry"
poultry_by_products,"Parts of poultry like organs and tissues.","Used as a protein and nutrient source.","Defined by EU labeling rules.","caution","Nutritious but quality can vary depending on source.","safe","Safe for dogs.","safe","Safe for cats.","EU regulation / FEDIAF"
meat_and_bone_meal,"A processed mix of meat and ground bones.","Used to provide protein and minerals.","Common in dry pet food.","caution","Nutritious but highly processed; contains calcium from bones.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
bone_meal,"Ground animal bones used as a mineral source.","Used to provide calcium and phosphorus.","Often added to support bones.","caution","Provides essential minerals, but excess may disrupt mineral balance.","safe","Safe for dogs in balanced amounts.","safe","Safe for cats in balanced amounts.","FEDIAF / pet nutrition"}
blood_meal,"Dried animal blood used as a protein source.","Used to provide iron and concentrated protein.","Common in some dry foods.","caution","Very rich in iron; excessive intake may upset mineral balance.","safe","Safe for dogs in balanced amounts.","safe","Safe for cats in balanced amounts.","FEDIAF / pet food industry"
feather_meal,"A processed protein made from feathers.","Used as a low-cost protein source.","Requires heavy processing to be digestible.","caution","Highly processed and lower-quality protein; limited nutritional value compared to fresh meat.","safe","Safe for dogs but not ideal as main protein.","caution","Not ideal for cats due to low protein quality.","FEDIAF / pet food industry"
hydrolyzed_liver,"Liver broken down into smaller components.","Used to improve digestibility and taste.","Often found in sensitive diets.","caution","Processed but easier to digest and less likely to trigger allergies.","safe","Safe for dogs and often used in allergy diets.","safe","Safe for cats.","FEDIAF / pet food industry"
liver_powder,"Liver that has been dried and ground into powder.","Used to enhance flavor and nutrition.","Common in treats.","caution","Nutritious but processed; often used more for taste than full nutrition.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
spray_dried_liver,"Liver dried using a spray process.","Used to preserve nutrients and improve taste.","Common in pet treats.","caution","Processed but retains many nutrients; mainly used for flavor.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
animal_plasma,"A protein-rich part of blood.","Used to support immunity and digestion.","Common in specialized diets.","caution","Functional ingredient with benefits, but highly processed.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet nutrition"
dried_plasma,"Plasma that has been dried for use in food.","Used to provide protein and functional benefits.","Often added to improve digestibility.","caution","Processed but can support digestion and immunity.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet nutrition"
pork_liver,"Liver from pigs, rich in nutrients.","Used to provide vitamins and strong flavor.","Common in many recipes.","safe","Very rich in vitamin A and iron; best consumed in moderation.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
duck_liver,"Liver from duck with a rich taste.","Used to add nutrients and flavor.","Often used in premium recipes.","safe","Highly nutritious but calorie-dense; rich in vitamins.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
chicken_heart,"Heart meat from chicken.","Used as a protein-rich ingredient.","Often included in whole-prey style diets.","safe","Rich in protein and taurine; supports heart health.","safe","Safe for dogs.","safe","Safe for cats and especially valuable for taurine.","FEDIAF / pet food industry"
beef_heart,"Heart muscle from cattle used as food.","Used as a rich source of protein and nutrients.","Technically a muscle, not a typical organ.","safe","High in protein, iron, and B vitamins; supports energy and heart health.","safe","Safe for dogs and very nutritious.","safe","Safe for cats and rich in taurine.","FEDIAF / pet food industry"
gizzard,"A muscular stomach from poultry.","Used as a protein-rich ingredient.","Has a firm, chewy texture.","safe","Rich in protein and minerals; supports muscle health.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
tripe,"Stomach lining from animals like cows or sheep.","Used for its nutrients and strong flavor.","Often used in traditional diets.","safe","Rich in nutrients but has a strong smell; generally healthy in moderation.","safe","Safe for dogs and often very appealing.","safe","Safe for cats.","FEDIAF / pet food industry"
green_tripe,"Unprocessed stomach lining from ruminants.","Used for its natural enzymes and nutrients.","Popular in raw feeding.","safe","Contains natural enzymes and beneficial nutrients; less processed.","safe","Safe for dogs and highly palatable.","safe","Safe for cats.","FEDIAF / pet food industry"
rumen,"A part of the stomach in ruminant animals.","Used as a nutrient source.","Often included in organ mixes.","safe","Provides nutrients and digestive compounds.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
lung,"Lung tissue used as food ingredient.","Used as a light protein source.","Often found in treats.","safe","Low in fat and provides protein; generally easy to digest.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
kidney,"An organ that filters blood in animals.","Used as a nutrient-rich ingredient.","Often included in balanced diets.","safe","Rich in vitamins and minerals; supports overall nutrition.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
spleen,"An organ involved in blood filtration.","Used as a source of iron and nutrients.","Less commonly used than other organs.","safe","Very rich in iron; beneficial in moderation.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
cartilage,"A flexible tissue found in joints.","Used to support joint health.","Often included in natural diets.","safe","Contains collagen that supports joints and connective tissue.","safe","Safe for dogs and beneficial for joints.","safe","Safe for cats.","FEDIAF / pet food industry"
bone_marrow,"Soft tissue found inside bones.","Used as an energy-rich ingredient.","Very rich in fat.","caution","Highly calorie-dense; too much may lead to excess fat intake.","safe","Safe for dogs in moderation.","safe","Safe for cats in moderation.","FEDIAF / pet food industry"
marrowbone,"A bone filled with nutrient-rich marrow.","Used as a chew and source of fats and minerals.","Popular as a natural treat.","safe","Provides fats and minerals, but high in calories and should be given in moderation.","safe","Safe for dogs as a chew when supervised.","caution","Not ideal for cats due to hardness.","FEDIAF / pet food industry"
fish_hydrolysate,"Fish broken down into very small protein pieces.","Used to improve digestibility and reduce allergies.","Common in sensitive diets.","caution","Highly processed but easier to digest and less likely to trigger allergies.","safe","Safe for dogs and useful in allergy diets.","safe","Safe for cats.","FEDIAF / pet food industry"
fish_digest,"A processed fish-based flavor enhancer.","Used to improve taste and smell of food.","Often sprayed onto kibble.","caution","Highly processed and mainly used for flavor, not nutrition.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
krill,"Small marine crustaceans rich in nutrients.","Used as a source of protein and omega-3 fats.","Often included in premium foods.","safe","Rich in omega-3 and antioxidants; supports heart and brain health.","safe","Safe for dogs and beneficial.","safe","Safe for cats.","FEDIAF / pet nutrition"
krill_meal,"A concentrated powder made from krill.","Used to provide protein and omega fats.","Common in premium formulas.","caution","Nutritious but processed; concentrated source of fats and protein.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
mussel,"A shellfish used as a protein source.","Used to provide minerals and nutrients.","Often found in premium recipes.","safe","Provides protein, minerals, and omega fats.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
green_lipped_mussel,"A special type of mussel rich in joint-support compounds.","Used to support joint health.","Often added to supplements.","safe","Contains compounds that support joints and reduce inflammation.","safe","Safe for dogs and beneficial for joints.","safe","Safe for cats.","FEDIAF / pet nutrition"
shellfish,"A group of marine animals like shrimp or mussels.","Used as a protein and mineral source.","Common in seafood-based recipes.","safe","Rich in protein and minerals, but may trigger allergies in some people.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
shrimp_meal,"A concentrated protein made from shrimp.","Used to add flavor and protein.","Often used in specialty foods.","caution","Nutritious but processed and can be high in minerals.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"
crab_meal,"A processed ingredient made from crab.","Used as a protein and mineral source.","Often used in premium or niche recipes.","caution","Nutritious but processed; may be high in minerals.","safe","Safe for dogs.","safe","Safe for cats.","FEDIAF / pet food industry"}
insect_protein,"A protein made from insects and used as an alternative to meat.","Used to boost protein while using fewer natural resources than traditional animal farming.","Many people do not realize insect protein is already showing up in modern pet food and some new human foods.","safe","It is rich in protein and often well tolerated, but people allergic to shellfish may react to it too because some of the proteins are similar. If it causes a problem, the reaction would usually be allergy-related, not toxicity-related.","safe","Usually safe for dogs and often used in sensitive-diet formulas. If a dog reacts badly, it is more likely to be from food sensitivity than from the ingredient itself.","safe","Usually safe for cats and can work as an alternative protein source. Sensitive cats may still get mild digestive upset when trying a new protein.","FEDIAF / pet food industry"
